Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,57.83,Kirsty Costello,2,Karen Costello,Kilbarchan,Dublin (S) IRL,5 Aug 17
2,54.26,Bekki Roche,2,,Liverpool H,Wigan,10 Sep 17
3,49.97,Francesca Williams,2,,Windsor Slough Eton & Hounslow,Bedford,26 Aug 17
4,49.89,Evie Tipping,2,David McKay,West Cheshire,Liverpool,9 Sep 17
5,48.29,Anna Merritt,2,,Southampton,Portsmouth,13 May 17
6,46.84,Cassey Grimwade,2,,Cardiff,Cardiff,8 Aug 17
7,42.92,Elizabeth Finch,2,Amir Williamson,Chelmsford,Crystal Palace,20 Aug 17
8,42.43,Phoebe March,2,,City of Portsmouth,Basingstoke,9 Sep 17
9,42.23,Stephanie Browne,2,,Cambridge & Coleridge,Horspath,10 Sep 17
10,42.17,Tilly Allsopp,2,Rob Careless,Notts,Bedford,26 Aug 17
11,41.83,Alix Fairley,2,,Livingston,Scotstoun,20 Aug 17
12,41.70,Lucy Forrest,2,,Worksop,Rotherham,17 Jul 17
13,41.58,Emma Hames,2,David Arnold,Neath,Swansea,9 Jul 17
14,41.37,Stella Coutts,1,Donald Pegrum,Cumbernauld,Livingston,8 Apr 17
15,40.75,Lara Moffat,1,Jack Kee,Marshall Milton Keynes,Milton Keynes,10 Jun 17
16,40.44,Orla Manchester,2,Denise Holman,Camberley,Basingstoke,9 Sep 17
17,39.49,Jessica Charlie Bennett,2,Paul Chamberlain,Southampton,Birmingham,2 Sep 17
18,39.42,Amy Money,2,,City of Norwich,Bury St Edmunds,17 Sep 17
19,38.80,Hannah Garrett,2,John Little,Annan,Scotstoun,20 Aug 17
20,38.58,Saada Juma,2,Steve Birse,Middlesbrough (Mandale),Middlesbrough,15 Jul 17
21,38.43,Meghan Sharman,2,Graham Felton,Royal Sutton Coldfield,Birmingham,8 Jul 17
22,38.33,Katie Donnelly,2,Clive Thomson,Medway & Maidstone,Lee Valley,8 Apr 17
23,36.98,Josephine Larkins,2,,Braintree,Colchester,7 Sep 17
24,35.97,Maisy Harvey,1,Andrew Compton,Forest of Dean AC,Exeter,20 Aug 17
