Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,57.37,Amy Phillips,2,Paul Dickenson,Reading AC,Eton,28 Sep 14
2,56.18,Katie Lambert,1,Steve Pearson,Kidderminster & Stourport,Birmingham,12 Jul 14
3,54.75,Ashleigh Power,2,Dennis Elkins,Poole AC,Crystal Palace,16 Aug 14
4,54.58,Amber Simpson,1,John Parkin,Deeside AAC,Connah's Quay,17 May 14
5,54.03,Maggie Okul,2,Dave Smith,Kingston upon Hull,Bedford,31 Aug 14
6,53.76,Ellie-J Webb,2,Ken Holmes,Team Bath,Salisbury,7 Jun 14
7,53.61,Stephanie Howe,1,,Woodford Green Essex Ladies,Birmingham,12 Jul 14
8,53.20,Emily Pearce,1,,Rhondda,Cardiff,5 Apr 14
9,52.89,Hannah Morgan,2,,Newport H,Newport,27 Jul 14
10,52.59,Olivia Stevenson,1,Dave Smith,Kingston upon Hull,Hull,18 Oct 14
11,51.68,Lotte Hoare,2,Karl Lasis,Brighton & Hove,Sportcity,5 Sep 14
12,51.43,Philippa Davenall,1,Robert Earle,Colchester H,Cambridge,26 Jul 14
13,50.79,Ellie Chandler,1,Paul Dickenson,Harrow,Birmingham,12 Jul 14
14,50.72,Katie Head,1,Paul Head,Newham & Essex Beagles,Hull,18 Oct 14
15,50.60,Sophie Mace,1,,Walton,Twickenham,24 Aug 14
16,50.20,Natalie Robbins,1,,Edinburgh AC,Livingston,12 Apr 14
17,49.38,Lauren Presswell,1,Jack Kee,Marshall Milton Keynes,Birmingham,20 Jul 14
18,48.80,Leah Runnacles,1,Thomas Grierson,Reading AC,Hull,19 Oct 14
19,48.61,Caitlin Price,1,Ronnie Bomba,Liverpool H,Stretford,26 Aug 14
20,48.55,Paige Barnes,1,Jack Kee,Marshall Milton Keynes,Birmingham,12 Jul 14
21,47.92,Rebecca Orrell,2,Michael Hitchon,Blackburn,Birmingham,11 Jul 14
22,47.66,Ellen Thrall,2,Lorraine Shaw,Gloucester,Birmingham,12 Jul 14
23,47.40,Lauren Aldridge,1,Mick Shortland,Stevenage & North Herts,Crystal Palace,16 Aug 14
