Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,59.14,Amy Phillips,3,Paul Dickenson,Windsor Slough Eton & Hounslow,Fargo ND USA,21 Apr 17
2,58.27,Katie Lambert,2,Steve Pearson,Kidderminster & Stourport,Loughborough,21 May 17
3,57.96,Olivia Stevenson,1,Dave Smith,Kingston upon Hull,Hull,10 Jun 17
4,57.43,Anna Purchase,1,Rob Careless,Notts,Nottingham,30 Apr 17
5,56.69,Philippa Davenall,2,Robert Earle,Colchester H,Crystal Palace,10 Jun 17
6,56.67,Danielle Broom,1,Paul Rees,Bournemouth,Bournemouth,10 Jun 17
7,56.43,Amber Simpson,2,John Parkin,Deeside AAC,Cardiff,10 Jun 17
8,56.03,Alice Barnsdale,2,Dave Smith,Lincoln Wellington,Leiria POR,29 Jul 17
9,55.25,Katie Head,1,Paul Head,Newham & Essex Beagles,Bedford,17 Jun 17
10,54.49,Molly Walsh,1,Steve Pearson,Wolverhampton & Bilston,Loughborough,16 Sep 17
11,53.84,Megan Larkins,3,John Pearson,Braintree,Colchester,19 Aug 17
12,53.06,Stephanie Fowler,2,Douglas Cameron,Edinburgh AC,Sheffield,23 Jul 17
13,52.80,Natalie Robbins,2,Susan McKelvie,Edinburgh AC,Grangemouth,27 Aug 17
14,52.20,Ffion Palmer,1,Adrian Palmer,Cardiff,Bath,28 Jun 17
15,50.06,Cathy Coleman,3,,Guildford & Godalming,Guildford,19 Aug 17
16,49.36,Victoria Wiltshire,1,Michael Davies,Blackheath & Bromley,Reading,25 Jun 17
17,48.81,Ellie Chandler,2,,Windsor Slough Eton & Hounslow,Portsmouth,17 Sep 17
18,48.77,Sophie Mace,2,Mark Wiseman,Walton,Kingston,14 May 17
19,47.59,Leah Runnacles,1,Paul Head,Reading AC,Bromley,28 May 17
20,47.46,Emma Rae,1,Colin McCulloch,Shaftesbury Barnet,Hendon,23 Jul 17
21,47.39,Vicki Pellett,1,Karl Lasis,Crawley,Crawley,13 May 17
22,47.32,Stephanie Howe,2,,Woodford Green Essex Ladies,Woodford Green,20 May 17
23,46.96,Heather Fawcett,1,,Kilbarchan,Sheffield,23 Jul 17
24,46.86,Caitlin Price,2,Ronnie Bomba,Liverpool H,Sportcity,11 Jun 17
25,46.74,Ellen Thrall,3,Lorraine Shaw,Gloucester,Bath,2 Apr 17
26,46.65,Candy Lockett,2,Mark Andrew Hill,Birchfield H,Birmingham,8 Jul 17
27,46.60,Lana Fulcher,2,Malcolm Fenton,Ipswich,Birmingham,7 Jul 17
28,45.70,Ellie White,2,Dennis Elkins,Wimborne,Bournemouth,2 Apr 17
29,44.05,Poppy Bean,1,Rob Careless,Notts,Derby,14 May 17
30,43.91,Lauren Aldridge,2,Mick Shortland,Stevenage & North Herts,Cambridge,24 Jun 17
31,43.66,Paige Barnes,2,John Pearson,Marshall Milton Keynes,Loughborough,26 Aug 17
32,43.49,Emily Pearce,2,,Rhondda,Cheltenham,26 Jul 17
33,43.05,Zoya Styles,1,,Ealing Southall & Middx,Perivale,25 Jun 17
34,42.68,Chrissie Prince,2,Graham Felton,Royal Sutton Coldfield,Tipton,20 Jun 17
35,42.66,Larissa Carter,1,Karl Lasis,Lewes,Lewes,8 Jul 17
36,42.60,Zoe Yule,3,,Livingston,Grangemouth,16 Apr 17
37,42.24,Nicola McRae,1,Ben Frary,Cleethorpes,Birmingham,7 Jul 17
38,41.79,Eleanor Frame,2,,Guildford & Godalming,Kingston,10 Jun 17
39,41.56,Gabriella Holt,1,Ken Holmes,Team Bath,Yate,30 Apr 17
40,41.23,Nichole Birmingham,1,Jan Aarre,Birchfield H,Rugby,28 May 17
