Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,59.63,Katie Head,2,Paul Head,Newham & Essex Beagles,Horspath,1 Sep 18
2,59.35,Alice Barnsdale,3,Dave Smith,Lincoln Wellington,Orlando FL USA,16 Mar 18
3,57.50,Danielle Broom,2,Paul Rees,Bournemouth,Bournemouth,9 Jun 18
4,56.95,Amber Simpson,3,John Parkin,Deeside AAC,Loughborough,20 May 18
5,56.86,Anna Purchase,2,Rob Careless,Notts,Nottingham,27 May 18
6,56.47,Olivia Stevenson,2,Dave Smith,Kingston upon Hull,Birmingham,14 Jul 18
7,56.34,Tara Simpson-Sullivan,1,Robert Halliwell,Wigan & District,Carlisle,12 May 18
8,54.63,Charlotte Payne D,1,Bob Broadbridge,Newbury,Swindon,13 Oct 18
9,54.12,Charlotte Williams,1,Michael Hitchon,Blackburn,Hull,13 Oct 18
10,53.77,Candy Lockett,3,Mark Andrew Hill,Birchfield H,Elon NC USA,14 Apr 18
11,52.27,Molly Walsh,2,Steve Pearson,Wolverhampton & Bilston,Wolverhampton,12 May 18
12,51.83,Stephanie Fowler,3,Douglas Cameron,Edinburgh AC,Grangemouth,7 Jul 18
13,51.43,Lana Fulcher,3,Malcolm Fenton,Ipswich,Cambridge,19 May 18
14,51.35,Anna Loughlin,1,Murray Grant,Bristol & West,Exeter,1 Jul 18
15,50.10,Cerys Thomas,1,Graham Arnold,City of Portsmouth,Portsmouth,16 Sep 18
16,49.55,Ffion Palmer,2,Adrian Palmer,Cardiff,Cardiff,27 May 18
17,49.44,Lauren Hill,1,Mark Andrew Hill,Chesterfield,Birmingham,14 Jul 18
18,49.18,Victoria Wiltshire,2,Michael Davies,Blackheath & Bromley,Bromley,14 Apr 18
19,49.03,Vicki Pellett,2,Michael Jones,Crawley,Crawley,1 Jul 18
20,48.89,Hannah Blood,1,Michael Hitchon,Sale Harriers Manchester,Sportcity,10 Jun 18
21,48.34,Ellie White,3,Dennis Elkins,Wimborne,Poole,20 May 18
22,48.13,Maria Schofield,1,Paul Wilson,City of York,York,2 Jun 18
23,47.92,Laura Runciman,1,Shirley Quinn,Chelmsford,Bedford,10 Jun 18
24,47.82,Poppy Bean,2,Rob Careless,Notts,Nottingham,27 May 18
25,47.80,Heather Fawcett,2,,Kilbarchan,Aberdeen,18 Aug 18
26,46.59,Lauren Aldridge,3,Mick Shortland,Stevenage & North Herts,Sandy,9 Aug 18
27,46.29,Heather Cubbage,1,Andrew Neal,City of Portsmouth,Portsmouth,29 Jul 18
28,45.62,Kirsty Finlay,1,Rob Careless,Notts,Hull,13 Oct 18
29,45.26,Stephanie Howe,3,,Woodford Green Essex Ladies,Woodford,21 Aug 18
30,45.07,Charlotte Stuchbury,1,Robert Halliwell,Wigan & District,York,1 Jul 18
31,44.82,Emily Pearce,3,,Rhondda,Cardiff,7 Aug 18
32,43.94,Nichole Birmingham,2,Jan Aarre,Birchfield H,Yate,6 May 18
33,43.59,Paige Barnes,3,John Pearson,Marshall Milton Keynes,Bedford,10 Jun 18
34,42.93,Louisa Pitsialis,2,Neville Thompson,Shaftesbury Barnet,Hendon,25 Aug 18
35,42.69,Sia Banbury,1,Lydia Banbury,Guernsey,Portsmouth,12 May 18
36,42.57,Bronte Jones,2,Ivan Washington,Sheffield & Dearne,Wigan,5 May 18
37,42.37,Larissa Carter,2,Karl Lasis,Lewes,Lewes,23 Jul 18
38,42.31,Alice Steer,1,Michael Jones,Crawley,Crawley,8 Jul 18
39,42.00,Carys Marsden,2,Michael Davies,Blackheath & Bromley,Bromley,23 Jun 18
40,41.86,Sarah Robinson,1,Dave Smith,Scunthorpe & District AC (Defunct),Cleckheaton,19 Aug 18
41,41.85,Gabriella Holt,2,Ken Holmes,Team Bath,Tidworth,13 May 18
41,41.85,Megan Ascough,2,John Simpson,Halifax,Cleckheaton,1 Jul 18
43,41.75,Emma Sharpe,1,Colin Petty,North Devon,Exeter,9 Jun 18
44,41.57,Nikeeta Sandhu,2,Rob Careless,Notts,Loughborough,8 Apr 18
45,41.18,Grace Adeleye,2,Clive Thomson,Medway & Maidstone,Ashford,14 Jul 18
46,41.02,Jessica Pelham,1,Martin Cassidy,Guildford & Godalming,Kingston,9 Jun 18
47,40.89,Jessica Hirst,3,John Simpson,Halifax,Crewe,3 Jun 18
48,40.85,Isabella Shepherd,1,Paul Rees,Bournemouth,Bournemouth,13 May 18
49,40.51,Kara Wilson,2,Martin Bishell,Doncaster,Doncaster,29 Apr 18
49,40.51,Yinka Shokunbi,1,,Blackheath & Bromley,Colchester,14 Jul 18
51,40.48,Leah Runnacles,2,Paul Head,Reading AC,Bromley,27 May 18
52,40.36,Lois Fileman,1,Clive Thomson,Tavistock,Exeter,16 Jun 18
53,40.12,Jessica Westley,2,,Kingston & Poly,Kingston,9 Jun 18
54,40.08,Nicola Bell,1,Eric Workman-Fowler,Walton,Walton,14 Apr 18
55,39.18,Lydia Church F12/T12,3,Tim Needham,Peterborough & Nene Valley,Peterborough,18 Nov 18
56,38.80,Emily Hartley,2,Robert Halliwell,Wigan & District,Stretford,14 Aug 18
