Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,61.94,Myra Perkins,3,Alan Bertram,Falkirk,Bedford,1 May 11
2,59.55,Abbi Carter,1,Dave Smith,Kingston upon Hull,Loughborough,22 May 11
3,58.10,Louisa James,1,John Hillier,Hastings AC,Douglas,11 Sep 11
4,53.49,Toni Wells,2,Lorraine Shaw,Swansea,Swansea,5 Jun 11
5,52.93,Rachel Hunter,2,,Ayr Seaforth,Wigan,3 Jul 11
6,51.94,Gaby Silcock,2,,Ballymena & Antrim,Tullamore IRL,4 Jun 11
7,50.57,Chelsea Coker,2,Shirley Quinn,Chelmsford,Colchester,8 Sep 11
8,50.47,Beth Mitchell,2,Paul Gair,Sutton-in-Ashfield,Tamworth,10 Jul 11
9,49.95,Amy Clemens,2,Jamie Bath,Shaftesbury Barnet,Eton,1 May 11
10,49.91,Jessica Mayho,2,Michael Morley,Bingley,Sportcity,19 Jun 11
11,48.90,Katy Barnard,1,John Little,Border,Carlisle,14 May 11
12,48.75,Jacqueline Plain,1,,Falkirk,Grangemouth,21 May 11
13,48.72,Helen Broadbridge,3,Bob Broadbridge,Newbury,Cambridge,28 Jun 11
14,48.13,Adanna Okeahialam,3,Paul Evenden,Bingley,Bedford,1 May 11
15,47.81,Sarah Stanhope,1,John Pearson,Lincoln Wellington,Hendon,10 Jul 11
16,47.27,Claire Beaumont,3,Paul Gair,Mansfield,Hendon,10 Jul 11
17,46.48,Pippa Wingate,2,,Kingston & Poly,Kingston,15 May 11
18,46.38,Georgina Howe,1,Gary Howe,Ipswich,Bury St. Edmunds,24 Sep 11
19,45.15,Rebecca Baines,2,Karl Lasis,Crawley,Kingston,5 Jun 11
20,44.87,Charlotte McEwan,1,,Middlesbrough (Mandale),Gateshead,18 Jun 11
21,44.46,Chloe Slater,2,Amir Williamson,Bexley,Ashford,19 Jun 11
22,43.85,Kelly Bodley,1,,Edinburgh AC,Grangemouth,10 Jun 11
23,43.65,Rebecca Simpson,1,Neil Ellerby,North Shields Poly,Sportcity,19 Jun 11
24,43.54,Emily Campbell,1,Michael Swain,Notts,Abingdon,17 Sep 11
25,43.45,Beccy Knapp,2,Mike Winch,Stevenage & North Herts,Cambridge,4 Sep 11
26,43.01,Hayley Sayer,2,,Cambridge & Coleridge,Cambridge,3 Sep 11
27,42.25,Heather Johnson,1,Brian Walsh,Middlesbrough (Mandale),York,24 Jul 11
28,42.24,Bobbie Lenehan-Hodge,1,Gary Frost,City of Plymouth,Exeter,17 Jul 11
29,41.70,Ayla Phillips,3,,Cardiff,Brecon,2 Jul 11
30,41.35,Sara Bobash,1,Steve Pearson,Wolverhampton & Bilston,Derby,28 Aug 11
31,40.24,Megan Searson,1,,Blackburn,Gateshead,2 Jul 11
32,40.05,Megan Tuck,3,Paul Jensen,Dorchester,Bridgend,2 Apr 11
33,40.01,Sarah Parsons,1,Charles Kaiser,Middlesbrough (Mandale),Gateshead,27 Aug 11
34,39.92,Jenna Cannell,2,,City of Norwich,Gateshead,2 Jul 11
35,39.86,Kirsty Yates,2,Joyce Rammell,Victoria Park City of Glasgow,Grangemouth,17 Sep 11
36,39.85,Sarah-Jane Anthony,1,Paul Dickenson,"Aldershot, Farnham & District",Bedford,8 Oct 11
37,39.79,Carla Letheby,1,Terry Letheby,Walton,Kingston,15 May 11
38,38.59,Sarah Hill,2,,Border,Carlisle,11 Jun 11
39,38.33,Kayleigh Presswell,1,Jack Kee,Marshall Milton Keynes,Bedford,9 Oct 11
