Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,46.31,Zoe Dakin,2,Paul Jensen,Bridgend,Bridgend,11 Sep 10
2,41.09,Charlotte Stallard,2,Lorraine Shaw,Gloucester,Hereford,18 Sep 10
3,39.68,Rebecca Keating,1,Thomas Grierson,Reading AC,Watford,30 Jun 10
4,38.96,Anita Evans,1,,Inverness,Scotstoun,15 Aug 10
5,38.56,Gemma Vickery,2,John Painter,City of Norwich,Sandy,25 Sep 10
6,38.09,Chantelle Rowe,2,Gary Frost,City of Plymouth,Braunton,8 May 10
7,37.15,Emily Evans,2,Mick Shortland,Stevenage & North Herts,Sandy,25 Sep 10
8,36.57,Chloe Cockell,2,Kevin Cockell,Braintree,Braintree,26 Sep 10
9,36.29,Annabel Moloney,2,Carolyn Franks,Cheltenham,Cheltenham,28 Jul 10
10,36.26,Naomi Lee,2,Richard Pilling,Lewes,Lewes,25 Apr 10
11,35.22,Samantha Lawton,2,Christopher Murray,Tamworth,Bedford,21 Aug 10
12,34.56,Charlotte Gould,2,Jamie Bath,Ealing Southall & Middx,Perivale,14 Aug 10
13,34.33,Elle Cockell,1,Kevin Cockell,Braintree,Braintree,26 Sep 10
14,34.12,Hayley Cooke,1,Brian Walsh,Middlesbrough (Mandale),Grangemouth,11 Sep 10
15,33.80,Chloe Moore,2,Michael Doran,Carlisle Aspatria,Leigh,30 May 10
16,32.77,Bethany Thomas,1,,Skyrac,Scotstoun,15 Aug 10
17,32.55,Ellie Bloomfield,1,Rob Careless,Ipswich,Colchester,30 Aug 10
18,32.52,Rebecca Todd,2,,"Blackpool, Wyre & Fylde",Blackpool,12 Sep 10
19,32.33,Shannon Jones,2,Shirley Quinn,Chelmsford,Chelmsford,25 Jul 10
20,31.34,Ashley Gould,2,,Ealing Southall & Middx,Watford,11 Aug 10
21,31.17,Imogen Hyde,2,,Cambridge & Coleridge,Bury St. Edmunds,19 Sep 10
22,31.05,Carys Smith,1,Peter Roberts,Swansea,Cardiff,7 Aug 10
22,31.05,Emily Baker,2,,Worthing,Hendon,28 Aug 10
24,30.89,Melissa Moffett,1,,Ballymena & Antrim,Magherafelt,25 Aug 10
25,29.65,Stephanie Nicholas,1,Peter Roberts,Swansea,Brecon,22 Aug 10
26,29.07,Emily Lupton,2,Aidan Lupton,Preston,Blackpool,9 May 10
27,29.04,Kelly Baker,2,Daniel Gilroy,West Cheshire,Macclesfield,8 May 10
28,28.72,Katherine Evans,2,,Hereford,Brecon,21 Aug 10
29,28.08,Kai Kahembe,1,Fiona Darling-Glinski,Marshall Milton Keynes,Hendon,28 Aug 10
30,27.51,Lauren Cherry,2,Jacqueline Cherry,Radley,Hendon,28 Aug 10
31,27.49,Rebecca Hoadley,2,Alli Crossman,Guildford & Godalming,Uxbridge,22 Aug 10
32,27.44,Kayleigh Arthurton,2,,Basildon,Braintree,27 Jun 10
33,26.97,Rachel Laqeretabua,1,,Paddock Wood,Hendon,28 Aug 10
34,26.67,Lianne Baker,2,,Worthing,Crawley,3 Sep 10
35,26.21,Jemma Speers,1,,Lagan Valley,Belfast,15 Apr 10
36,26.11,Georgie Taylor,1,Brian Kiernan,Havering,Sandy,25 Sep 10
37,26.10,Katy Archdale,1,,City of Portsmouth,Portsmouth,18 Apr 10
38,26.05,Kayleigh Brown,1,Tony Livingstone,Gateshead,Gateshead,9 May 10
39,26.02,Emma Bowie,1,Margery Swinton,Moray,Inverness,25 Jul 10
40,25.73,Chloe Nethery,1,Norman Gardiner,Pitreavie,Scotstoun,15 Aug 10
41,25.37,Mia Shepherd,1,Jim Green,Kilbarchan,Linwood,2 Sep 10
42,25.16,Rimell Davis,2,,Hillingdon,Uxbridge,22 Aug 10
43,25.11,Anna Alvarez,2,,Invicta East Kent,Canterbury,26 Sep 10
44,24.30,Chloe Padley,2,,City of Portsmouth,Portsmouth,9 May 10
44,24.30,Cerys McCool,1,Peter Roberts,Swansea,Brecon,3 Jul 10
46,24.27,Lauren McBride,2,,Northern Ireland Schs,Antrim,21 May 10
47,23.92,Louisa Marshall,2,,Great Yarmouth,Ipswich,4 Jul 10
48,23.78,Manon Edwards,2,Ian Robinson,Wrexham,Brecon,22 Aug 10
49,23.43,Yasmin Cazeau,2,,Enfield & Haringey,Peterborough,12 Sep 10
50,23.36,Savannah Dowse,1,,Grantham AC,Grantham,5 Sep 10
51,23.20,Lauren Malcharek,2,Peter Hancock,Preston,Preston,12 Sep 10
51,23.20,Alice Botting,1,Paul Dickenson,Windsor Slough Eton & Hounslow,Eton,19 Sep 10
53,23.19,Eleanor Pinnock,2,,Haywards Heath,Horsham,23 Jul 10
54,23.15,Una Magee,1,,Olympian Youth,Antrim,31 Jul 10
55,23.12,Kayleigh Russell,2,,Peterborough,Peterborough,13 Jun 10
56,23.00,Olivia Beuzeval,1,,Jersey,Portsmouth,9 May 10
56,23.00,Kerry McIlwaine,2,,Northern Ireland Schs,Antrim,21 May 10
58,22.65,Kathryn Woodcock,1,Kevin O'Hara,Radley,Abingdon,22 Aug 10
59,22.48,Eva Siwiak-Jaszec,2,,Preston,Preston,12 Sep 10
60,22.40,Ruth Hewlett,2,,City of Lisburn,Antrim,21 May 10
61,22.19,Meaghan Elliott,2,,Rhondda,Hereford,22 May 10
62,22.05,Aine Harkin,2,,City of Derry,Antrim,31 Jul 10
63,22.02,Alisha Collings,1,,Chesterfield,Mansfield,8 May 10
64,21.83,Karenjeet Bains,2,,Leamington,Birmingham,8 May 10
65,21.72,Rebecca Ferroni,2,,Brighton & Hove,Crawley,30 Aug 10
66,21.58,Jodie-Leigh Minett,2,,Glamorgan Valleys Schs,Brecon,3 Jul 10
66,21.58,Rebecca Spear,2,Colin Petty,North Devon,Exeter,31 Aug 10
68,21.51,Alexandra Bartle,2,,Kingston & Poly,Wimbledon,31 Jul 10
69,21.48,Lauren Stewart,2,,Regent House,Antrim,31 Jul 10
70,21.36,Shannon Sutherland,1,,Nairn,Inverness,18 Sep 10
71,21.33,Gemma Scales,1,,Rugby & Northampton,Birmingham,30 May 10
71,21.33,Paige Courtney,2,,Cardiff & The Vale Schs,Brecon,3 Jul 10
73,21.28,Bonnie Heath,2,,Glamorgan Valleys Schs,Brecon,3 Jul 10
74,21.15,Shannon Cordell,1,David Bruney,Blackheath & Bromley,Ashford,8 May 10
75,21.08,Katrina Kelly,1,Dezz Reynolds,"Blackpool, Wyre & Fylde",Nelson,5 Sep 10
