Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,58.32,Angela McAuslan-Kelly,1,Jim Green,Thames Valley,Loughborough,27 May 23
2,56.08,Lily Murray,2,Gareth Cook,Swale Combined,Woodford,25 Jun 23
3,51.83,Amelia Fettis,2,,Newport H,Cardiff,24 Jun 23
4,48.98,Jasmine Richardson,2,Lee Doyle,Sale Harriers Manchester,Stretford,10 Jun 23
5,48.94,Willow Bedding,2,Paul Head,Huntingdonshire,Hull,8 Oct 23
6,48.72,Olivia Austin,2,David Callaway,Southampton,Walton,4 Jun 23
7,48.67,Gracie Jenvey,2,David Callaway,Southampton,Chelmsford,17 Jun 23
8,47.88,Dawn Russell,2,Karen Costello,Glasgow Jaguars,Grangemouth,22 Apr 23
9,47.49,Emma Harrison,2,,Blackburn,Blackburn,2 Jul 23
10,46.35,Christiana Kamdom Kemegne,2,Gareth Cook,Croydon,Kingston,14 May 23
11,44.57,Scarlett Moss-Turner,1,,Leigh,Birmingham,1 Jul 23
12,44.49,Freya Brennand,3,Eric Davison,Brighton & Hove,Horspath,2 Jul 23
13,43.32,Charlotte Bowers,2,Kevin Murch,Rugby & Northampton,Rugby,19 Aug 23
14,43.00,Sapphire Houston-Ball,1,,Blackheath & Bromley,Crawley,30 Jul 23
15,42.41,Holly Stewart,1,Joanne Harding,Stockport,Wrexham,24 Sep 23
16,41.44,Lexie Ellis,1,Nick Ridgeon,Sheffield & Dearne,Sportcity,4 Jun 23
17,40.98,Jasmine Gordon,2,Martin McBriar,Winchester,Swindon,10 Sep 23
18,40.20,Amelia Hancock,1,Steve Pearson,Wolverhampton & Bilston,Tipton,30 Jul 23
19,39.79,Abby Barnfield,1,Matt Spicer,Yate,Yate,30 Apr 23
20,39.47,Grace Bontoft,2,,Blackburn,Blackburn,14 May 23
21,39.03,Hana Gay,1,,Cumbernauld,Grangemouth,3 Jun 23
22,38.68,Hannah Henderson,2,,Kilmarnock,Grangemouth,13 Aug 23
23,38.56,Phoebe Broadhead,2,,Croydon,Battersea Park,9 Jul 23
24,38.39,Amy-Lee van der Westhuizen,2,,Walton,Kingston,10 Jun 23
24,38.39,Meghan Porterfield,2,Alison Grey,Glasgow Jaguars,Grangemouth,28 Oct 23
26,38.10,Natasha Tulloch,3,,Shetland,Lerwick,27 Aug 23
27,38.02,Ellie Byers,2,,Annan,Grangemouth,28 Oct 23
28,37.32,Lucie Martin,1,Leonard Miller,Border,Carlisle,25 Mar 23
29,37.06,Erin Quinn,2,John Little,Victoria Park City of Glasgow,Carlisle,14 Oct 23
30,36.94,Katie Ennis,1,Paul Head,Havering,Dartford,9 Jul 23
31,36.27,Harriet Barkaway,2,,"Aldershot, Farnham & District",Lee Valley,1 Apr 23
32,36.07,Hannah Clemo,1,Steve Clemo,Newquay & Par,Carn Brea,10 Sep 23
33,35.61,Moni Brady,3,Paul Filer,Bristol & West,Nottingham,9 Jul 23
34,35.17,Rebekah Pratt,1,Jane Hosgood,Swansea,Rugby,30 Jul 23
35,34.90,Lucy Hunter,3,,Falkirk,Grangemouth,11 Feb 23
36,34.53,Hannah Walker,1,Elaine Fileman,Tavistock,Tavistock,24 Sep 23
37,34.44,Jorja Clark,1,,Jersey,St. Peter Port,13 Jul 23
38,34.22,Mali Loader,1,,Neath,Swansea,23 Apr 23
39,34.12,Ella Vaux-Harvey,2,Richard Eastman,Kidderminster & Stourport,Stourport,9 Sep 23
40,34.05,Hayley Dimond,1,Claire Dimond,Rugby & Northampton,Rugby,28 May 23
41,33.78,Amelia Appleyard,2,John Mahon,Braintree,Braintree,20 May 23
42,33.26,Emily Butler,1,Cathy James,Thurrock,Stevenage,9 Jul 23
43,32.95,Hayley Emerson,2,,Crawley,Crawley,10 Jun 23
44,32.89,Sophie Gardner,1,,Bracknell AC,Birmingham (U),17 Sep 23
45,32.43,Amber Jeacock West,3,Kathryn Woodcock,Radley,Andover,20 May 23
46,32.28,Tamzin Digpal-Race,1,Alex Giles,Huntingdonshire,St. Ives,7 May 23
47,32.23,Rachel Burke,2,,Burton,Nottingham,14 May 23
48,32.11,Emily Collins,3,,Swansea,Carmarthen,28 May 23
49,31.97,Hannah Holman,2,Paul Thorn,Yate,Yate,15 Apr 23
50,31.55,Jay Whale,3,,Notts,Nottingham,14 May 23
51,31.53,Katelyn Swift,1,Dave Brown,Liverpool Pembroke Sefton,Liverpool,18 Jun 23
52,31.29,Nicky Saunders,2,,Liverpool Pembroke Sefton,Wrexham,24 Sep 23
53,30.98,Felicity Whiteway,1,Matt Spicer,Yate,Nuneaton,18 Jun 23
54,30.92,Luella Brookes,2,Mel Brookes,Diss,Milton Keynes,18 Jun 23
55,30.85,Lesley Rogers,3,,Dundee Hawkhill,Aberdeen,20 Aug 23
56,30.78,Lucy Moore,2,Steven Brick,Wirral,Bebington,18 Jun 23
57,30.35,Betsy Cooper,2,,Halesowen,Stourport,9 Sep 23
58,30.22,Ruby Higham,2,,Chesterfield,Derby,10 Jun 23
59,29.68,Hannah Parsons,1,,Barnet,Watford,20 May 23
60,29.40,Isabel Gaines,1,,Tynedale,Carlisle,16 Dec 23
61,28.97,Talia Ball,2,,"Blackpool, Wyre & Fylde",Blackburn,14 May 23
62,28.48,Maya Lindridge,1,Paul Wilson,City of York,Hull,30 Apr 23
63,28.38,Evie Boucher-White,2,,Yate,Yeovil,8 Apr 23
64,28.15,Amy Stupart,1,,Perth Strathtay,Grangemouth,14 May 23
65,28.11,Elizabeth Chapman,1,,Guildford & Godalming,Kingston,14 May 23
66,27.68,Kitty Burton,2,,Ellon,Dundee,11 Jun 23
67,27.49,Shope Jimoh,1,,Edinburgh AC,Grangemouth,28 Oct 23
68,27.47,Scarlett O'Connor,3,,Newbury,Perivale,19 Aug 23
69,27.41,Sophie Steele,2,,Biggleswade,Watford,19 Aug 23
70,27.14,Jessica Mitchinson,1,John Little,Border,Carlisle,16 Dec 23
71,26.81,Cayen Wang,4,Bob Broadbridge,Oxford Uni,Cambridge,11 Nov 23
72,26.56,Lily Thompson,1,,Darlington H,Morpeth,20 May 23
73,26.35,Eleanor Kealey,3,Mike Corden,Doncaster,Sheffield,9 Sep 23
74,26.07,Georgia Ward,1,,Boston,Boston,20 May 23
75,26.05,Sophie Livingstone,1,Bob Broadbridge,Newbury,Swindon,18 Nov 23
76,25.94,Hope Yelling,2,Simon Evans,Worthing,Crawley,19 Aug 23
77,25.24,Ciara Rainey,3,,Bracknell AC,Chelmsford,9 Jul 23
78,25.00,Caitlan Burke,1,,Huntingdonshire,Cambridge,24 Jun 23
